Year,Type,Country,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,latitude,longitude
2003,Unprovoked,USA,Florida,Surfing,M,30,Left foot bitten,N,NA,27.664827,-81.515754
2003,Unprovoked,USA,Florida,Surfing,M,23,Small lacerations to foot,N,NA,27.664827,-81.515754
2003,Unprovoked,USA,Florida,Surfing,M,18,Left ankle bitten or right foot,N,NA,27.664827,-81.515754
2003,Unprovoked,USA,Florida,Jumping,M,11,Left foot bitten,N,NA,27.664827,-81.515754
2003,Unprovoked,USA,Florida,Surfing,M,12,2 lacerations on left thigh,N,NA,27.664827,-81.515754
2003,Unprovoked,USA,Florida,Swimming (using a float),M,20,Left calf lacerated,N,NA,27.664827,-81.515754
2003,Unprovoked,USA,Florida,Surfing,M,NA,Arm lacerated,N,NA,27.664827,-81.515754
2003,Unprovoked,USA,Florida,Surfing,M,50,Left hand and wrist bitten,N,NA,27.664827,-81.515754
2003,Provoked,USA,Florida,Petting captive sharks,F,NA,Hand nipped PROVOKED INCIDENT,N,NA,27.664827,-81.515754
2003,Unprovoked,USA,Florida,Swimming,M,54,Left hand bitten,N,NA,27.664827,-81.515754
2004,Unprovoked,USA,California,Surfing,NA,38,"Lacerations to hand, knee & thigh ",N,White,36.778261,-119.417932
2004,Unprovoked,USA,California,Surfing,M,NA,Lower leg bitten,N,White,36.778261,-119.417932
2004,Unprovoked,USA,Hawaii,Spearfishing,M,34,Left shoulder bitten,N,Tiger   ,-14.270972,-170.132217
2004,Unprovoked,USA,California,Surfing,M,16,"No injury, knocked off surfboard",N,NA,36.778261,-119.417932
2004,Unprovoked,USA,California,Surfing,M,40,"No injury, shark struck board & spun it around",N,NA,36.778261,-119.417932
2004,Unprovoked,USA,Oregon,Surfing,M,26,Leg bitten,N,White,43.804133,-120.554201
2004,Unprovoked,USA,South Carolina ,Jumping,F,17,Left knee & leg bitten,N,NA,33.836081,-81.163725
2004,Unprovoked,USA,Florida,Walking,F,38,Heel bitten,N,NA,27.664827,-81.515754
2004,Unprovoked,USA,California,Surfing,M,NA,Foot bitten,N,White,36.778261,-119.417932
2004,Unprovoked,USA,California,Diving,M,50,FATAL,Y,White,36.778261,-119.417932
2004,Unprovoked,USA,Florida,Swimming,M,47,"Back, buttocks, left hand & left side of face bitten",N,NA,27.664827,-81.515754
2004,Unprovoked,USA,Florida,Surfing,F,20,Right foot bitten,N,NA,27.664827,-81.515754
2004,Unprovoked,USA,North Carolina,Surfing,F,28,Right calf bitten,N,NA,35.759573,-79.0193
2004,Unprovoked,USA,North Carolina,Swimming,F,13,Right forearm & wrist lacerated,N,NA,35.759573,-79.0193
2004,Unprovoked,USA,Texas,Swimming,F,19,Right foot bitten,N,NA,31.968599,-99.901813
2004,Unprovoked,USA,Texas,Wading / fishing & carrying a bag of fish,M,11,Right forearm nearly severed and bites above & below the right knee,N,Bull   ,31.968599,-99.901813
2004,Unprovoked,USA,Alabama,Wading,M,7,Right foot lacerated,N,NA,32.318231,-86.902298
2004,Unprovoked,USA,California,Surfing,M,45,"No injury, shark struck his board",N,White,36.778261,-119.417932
2004,Unprovoked,USA,Florida,In water with diving seabirds,F,NA,Foot bitten,N,NA,27.664827,-81.515754
2004,Unprovoked,USA,Florida,Swimming,M,8,Right wrist  & left arm lacerated,N,NA,27.664827,-81.515754
2004,Unprovoked,USA,Texas,Wading,M,16,Puncture wounds on shin,N,NA,31.968599,-99.901813
2004,Unprovoked,USA,California,Surfing,M,44,No injury,N,NA,36.778261,-119.417932
2004,Unprovoked,USA,Florida,Boogie-boarding / swimming,M,9,Calf & foot lacerated,N,NA,27.664827,-81.515754
2004,Unprovoked,USA,Florida,NA,F,9,Foot bitten,N,NA,27.664827,-81.515754
2004,Unprovoked,USA,Texas,Tandem surfing,M,28,"No injury, board bitten",N,Mako,31.968599,-99.901813
2004,Unprovoked,USA,Hawaii,Surfing,M,57,FATAL Severe wound to right thigh & calf,Y,Tiger   ,-14.270972,-170.132217
2004,Unprovoked,USA,Florida,NA,M,26,Right foot bitten,N,NA,27.664827,-81.515754
2004,Unprovoked,USA,Florida,Surfing,M,20,15 puncture wounds on foot,N,Bull   ,27.664827,-81.515754
2004,Unprovoked,USA,Florida,Surfing,M,NA,Heel bitten,N,Bull   ,27.664827,-81.515754
2004,Unprovoked,USA,Florida,Swimming,M,61,Minor lacerations & abrasions on forearm,N,NA,27.664827,-81.515754
2004,Unprovoked,USA,Hawaii,Snorkeling,F,NA,Lacerations to left foot,N,NA,-14.270972,-170.132217
2004,Unprovoked,USA,Hawaii,Surfing,M,51,"No injury, board bitten",N,Tiger   ,-14.270972,-170.132217
2005,Unprovoked,USA,Oregon,Surfing,M,30,Lacerations to ankle & calf,N,White,43.804133,-120.554201
2005,Unprovoked,USA,Hawaii,Swimming,M,29,Left hand bitten,N,Tiger   ,-14.270972,-170.132217
2005,Unprovoked,USA,Florida,Surfing,M,NA,Left foot bitten,N,NA,27.664827,-81.515754
2005,Unprovoked,USA,Florida,Surfing,M,23,Right thumb & palm lacerated,N,NA,27.664827,-81.515754
2005,Unprovoked,USA,Florida,Surfing,M,30,Left foot bitten,N,NA,27.664827,-81.515754
2005,Unprovoked,USA,Florida,Surfing,M,17,Lacerations to right thigh,N,NA,27.664827,-81.515754
2005,Unprovoked,USA,Florida,Surfing,M,18,Puncture wounds to right foot,N,NA,27.664827,-81.515754
2005,Unprovoked,USA,California,Surfing,M,25,"No injury, board bitten",N,NA,36.778261,-119.417932
