Year,Type,Country,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,latitude,longitude
1993,Unprovoked,ANGOLA,Luanda,Surfing,M,NA,Right Leg bitten,N,White,-11.202692,17.873887
2006,Boat,Antigua,Antigua,Competing in the Woodvale Atlantic Rowing Race,M,46,No injury to occupants; shark rammed boat repeatedly,N,NA,17.060816,-61.796428
1960,Unprovoked,AUSTRALIA,New South Wales,NA,F,27,"Shark brushed past, minor injuries if any",N,NA,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,Queensland,"Fishing, when line became snagged on rock & he dived into water to free it ",M,33,Left thigh lacerated,N,Grey reef ,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,Queensland,Fishing,M,NA,Bitten & survived,N,Bull   ,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,Queensland,Swimming,M,41,Right shoulder lacerated,N,NA,-25.274398,133.775136
1960,Provoked,AUSTRALIA,Queensland,Chasing shark out of bathing area while riding on a surf-ski,M,17,"Shark knocked him off surf-ski, he inhaled water & had to be resuscitated PROVOKED INCIDENT",N,NA,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,Western Australia,"Spearfishing, speared fish retreated to cave where shark grabbed his arm",M,24,Scratches on right upper arm,N,Wobbegong     ,-25.274398,133.775136
1960,Boat,AUSTRALIA,Western Australia,NA,NA,NA,"No injury to occupants, toothmarks on bottom & side of dinghy",N,NA,-25.274398,133.775136
1960,Provoked,AUSTRALIA,Western Australia,"Fishing, hauling in a set line",M,NA,4 fingers of left hand were lacerated by shark he had shot in the head PROVOKED INCIDENT,N,Bronze whaler    ,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,17,Right arm & side bruised,N,White,-25.274398,133.775136
1960,Provoked,AUSTRALIA,Western Australia,"Spearfishing, shot a sandtiger shark. Cord to spear tangled round his legs & a wave washed him onto a reef.",M,NA,"Bruises & minor injuries from reef, not the shark PROVOKED INCIDENT",N,Sandtiger,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,Victoria,Spearfishing,M,NA,Minor cuts & bruises on face & neck,N,NA,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,New South Wales,"Speared a grouper, saw shark but it came for him instead of the fish so he fired spear into shark?s mouth. Then shark took grouper but unable to swallow because of the spear in its mouth.",M,NA,Minor injuries to hand,N,Bronze whaler    ,-25.274398,133.775136
1960,Provoked,AUSTRALIA,South Australia,Shark fishing,NA,NA,Hooked shark bit stern  PROVOKED INCIDENT,N,White,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,Tasmania,"Wading, fishing for flounder",M,30,"No injury, Robertson knocked over & Hasler brushed by a shark",N,NA,-25.274398,133.775136
1960,Provoked,AUSTRALIA,New South Wales,Shark fishing,NA,NA,No injury to occupants. Hooked shark rammed boat  PROVOKED INCIDENT,N,Tiger   ,-25.274398,133.775136
1960,Provoked,AUSTRALIA,New South Wales,Spearfishing,M,20,"No injury, speared shark towed Gilles 200 yards & tore hole in diving suit, and hit Dowswell's back with its tail PROVOKED INCIDENT",N,Grey reef ,-25.274398,133.775136
1960,Sea Disaster,AUSTRALIA,Darwin,Portuguese Airliner with 9 people aboard went down. ,NA,NA,"As searchers approached wreckage, sharks circled one canoe & seized oar from another.",N,NA,-25.274398,133.775136
1960,Boat,AUSTRALIA,South Australia,NA,NA,NA,"No injury to occupants, shark lifted boat",N,Blue ,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,New South Wales,Free diving,M,13,"FATAL, right leg severed above knee, surgically amputated but died 9 days later ",Y,Bull   ,-25.274398,133.775136
1960,Provoked,AUSTRALIA,Western Australia,"Fishing, lifting shark out of craypot",M,NA,Upper leg bitten PROVOKED INCIDENT,N,Wobbegong     ,-25.274398,133.775136
1960,Boat,AUSTRALIA,Tasmania,Setting crayfish pots,NA,NA,"No injury to occupant, shark rammed boat",N,NA,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,Queensland,Standing,F,18,"FATAL, right arm severed at shoulder, left hand severed, right thigh bitten & surgically amputated.  Died  day after the attack",Y,NA,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,Queensland,Standing,M,24,"Hand bitten, surgically amputated",N,NA,-25.274398,133.775136
1961,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,23,"No injury, Parker shot the shark when it came close to his nephew, Bill Bradbury (14), then the shark bent his speargun PROVOKED INCIDENT",N,Grey reef ,-25.274398,133.775136
1961,Boat,AUSTRALIA,South Australia,"Fishing, hauling in a 5-lb snapper",NA,NA,No injury to occupant; shark leapt into boat,N,NA,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,Torres Strait,Swimming with other crew near wharf,M,17,Right thigh and leg lacerated,N,NA,-25.274398,133.775136
1961,Provoked,AUSTRALIA,Queensland,Shark fishing,NA,NA,"No injury to occupant, hooked shark bit boat's rudder PROVOKED INCIDENT",N,White,-25.274398,133.775136
1961,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,NA,"No injury, speared shark hit speargun PROVOKED INCIDENT",N,NA,-25.274398,133.775136
1961,Provoked,AUSTRALIA,New South Wales,Spearfishing,M,NA,Speared shark bit Davy's ankle &  Pierpont's right leg  PROVOKED INCIDENT,N,Wobbegong     ,-25.274398,133.775136
1961,Provoked,AUSTRALIA,New South Wales,Spearfishing,M,21,Speared shark bit his foot  PROVOKED INCIDENT,N,Wobbegong     ,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,New South Wales,"Checking fish traps, fell into the water",M,40,Tiny cuts & bruises on neck  ,N,Sharpnose,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,Victoria,Spearfishing,M,24,"No injury, right sleeve of wetsuit ripped, weight on belt gashed",N,Grey reef ,-25.274398,133.775136
1961,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,NA,Speared shark bit his arm & seat of pants of diving suit  PROVOKED INCIDENT,N,Wobbegong     ,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,South Australia,Spearfishing,M,24,"Shark took his entire catch, lacerated his knee and tore his wet suit as it brushed past him",N,Bronze whaler    ,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,Victoria,Swimming,M,24,"Abdomen & arm bitten. Shark, holding him by the arm, leapt 4' to 5' above the surface",N,NA,-25.274398,133.775136
1961,Provoked,AUSTRALIA,Western Australia,Fishing from dinghy,F,NA,Hooked shark hauled on board bit her foot PROVOKED INCIDENT,N,NA,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,South Australia,Spearfishing,M,21,Left leg bitten  & left forearm lacerated,N,White,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,Victoria,Standing,F,NA,"Ankle bitten by small ?gummy? shark, minor injury",N,NA,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,Western Australia,Collecting crayfish,M,NA,No injury,N,Grey reef ,-25.274398,133.775136
1961,Provoked,AUSTRALIA,New South Wales,Collecting aquarium specimens,M,27,Right calf  bitten by lassoed shark on deck of surf ski PROVOKED INCIDENT,N,Wobbegong     ,-25.274398,133.775136
1961,Provoked,AUSTRALIA,Northern Territory,Fishing,M,NA,Finger bitten by hooked shark PROVOKED INCIDENT,N,Hammerhead ,-25.274398,133.775136
1961,Boat,AUSTRALIA,Tasmania,Ocean racing,NA,NA,"No injury to occupants, shark struck boat",N,NA,-25.274398,133.775136
1961,Boat,AUSTRALIA,New South Wales,Fishing for mackerel,NA,NA,"No injury to occupant, shark took hooked fish then bit stern of boat",N,NA,-25.274398,133.775136
1962,Unprovoked,AUSTRALIA,South Australia,Spearfishing,M,16,"FATAL, right leg bitten thigh to calf  ",Y,White,-25.274398,133.775136
1962,Unprovoked,AUSTRALIA,New South Wales,"Spearfishing, Scuba diving",M,26,"No injury, shark bit spear & dragged diver 90'",N,NA,-25.274398,133.775136
1962,Boat,AUSTRALIA,New South Wales,Fishing,NA,NA,No injury to occupants. Shark rammed boat as they were pulling in a flathead,N,Blue ,-25.274398,133.775136
1962,Boat,AUSTRALIA,South Australia,Adrift after wave swamped engine,M,NA,"No injury to occupant, shark ""nibbled"" at boat",N,Grey reef ,-25.274398,133.775136
1962,Boat,AUSTRALIA,Western Australia,Fishing,NA,NA,"No injury to occupant, shark grabbed anchor rope, pulling bow of boat downward & then bit bow of boat",N,NA,-25.274398,133.775136
1962,Provoked,AUSTRALIA,Queensland,Fishing,NA,NA,"No injury to occupants, hooked shark cracked hull PROVOKED INCIDENT",N,Bronze whaler    ,-25.274398,133.775136
1962,Boat,AUSTRALIA,New South Wales,Fishing & spearfishing,NA,NA,No injury to occupants. Shark holed boat & they swam 200 yards to shore,N,Bronze whaler    ,-25.274398,133.775136
1962,Unprovoked,AUSTRALIA,Queensland,Fishing for snappers & cleaning mullet. Put mullet over side of boat to wash it,M,NA,Middle finger of right hand lacerated,N,NA,-25.274398,133.775136
1962,Unprovoked,AUSTRALIA,Queensland,Swimming,M,35,Shin bitten,N,NA,-25.274398,133.775136
1962,Provoked,AUSTRALIA,New South Wales,Spearfishing,M,19,Suffered from shock & immersion after being dragged underwater  by speared shark PROVOKED INCIDENT,N,Bronze whaler    ,-25.274398,133.775136
1962,Provoked,AUSTRALIA,New South Wales,Spearfishing,NA,NA,Speared shark bit gunwale of boat as it was being hauled onboard PROVOKED INCIDENT,N,Grey reef ,-25.274398,133.775136
1962,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,19,Dorsum of foot lacerated & toe severed,N,NA,-25.274398,133.775136
1962,Boat,AUSTRALIA,South Australia,Fishing,NA,NA,"No injury to occupant, shark bit propeller & lifted boat several feet",N,Grey reef ,-25.274398,133.775136
1962,Boat,AUSTRALIA,South Australia,Fishing for sharks,NA,NA,No injury to fisherman Alf Dean & other occupants; shark bit stern of boat,N,White,-25.274398,133.775136
1962,Provoked,AUSTRALIA,Queensland,Rowing,NA,NA,"No injury to occupants, shark bit 3"" piece from oar after they accidentally struck the shark PROVOKED INCIDENT",N,NA,-25.274398,133.775136
1962,Unprovoked,AUSTRALIA,New South Wales,Surfing,NA,NA,"No injury, shark bumped board flipping him into the water",N,NA,-25.274398,133.775136
1962,Provoked,AUSTRALIA,New South Wales,Fishing,NA,NA,"No injury to occupants, hooked shark dragged boat 2 miles PROVOKED INCIDENT",N,NA,-25.274398,133.775136
1962,Unprovoked,AUSTRALIA,South Australia,Diving,M,NA,Right leg bitten,N,NA,-25.274398,133.775136
1963,Unprovoked,AUSTRALIA,Queensland,Sitting on gunwale of boat,M,NA,"No injury, shark's tail struck his armpit",N,NA,-25.274398,133.775136
1963,Provoked,AUSTRALIA,New South Wales,Fishing,M,NA,7 puncture wounds in right forearm from hooked shark PROVOKED INCIDENT,N,Wobbegong     ,-25.274398,133.775136
1963,Unprovoked,AUSTRALIA,South Australia,Spearfishing,M,23,Torso & hand lacerated,N,White,-25.274398,133.775136
1963,Provoked,AUSTRALIA,Queensland,Catching sharks under government contract,M,NA,"No injury to occupant, netted shark rammed & bit boat PROVOKED INCIDENT",N,White,-25.274398,133.775136
1963,Provoked,AUSTRALIA,New South Wales,Surfing,M,18,"A ""dead"" shark grabbed by the tail bit his right torso PROVOKED INCIDENT",N,NA,-25.274398,133.775136
1963,Provoked,AUSTRALIA,New South Wales,Fishing,M,NA,Foot lacerated by netted shark PROVOKED INCIDENT,N,Grey reef ,-25.274398,133.775136
1963,Unprovoked,AUSTRALIA,Western Australia,"Surfing on ""chest board"" (boogie board?)",M,25,Arm bitten,N,NA,-25.274398,133.775136
1963,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,18,Left leg lacerated,N,Bronze whaler    ,-25.274398,133.775136
1963,Unprovoked,AUSTRALIA,New South Wales,Wading,F,32,"FATAL, right femoral artery severed, thigh, calf, buttock & left hand bitten  ",Y,NA,-25.274398,133.775136
1963,Provoked,AUSTRALIA,South Australia,Shark fishing,NA,NA,No injury to occupants; hooked shark slammed into side of boat PROVOKED INCIDENT,N,White,-25.274398,133.775136
1963,Unprovoked,AUSTRALIA,Torres Strait,Diving for trochus,M,NA,Calf removed,N,NA,-25.274398,133.775136
1964,Boat,AUSTRALIA,New South Wales,Fishing,NA,NA,"No injury to occupants, shark rammed boat, bit planks & sheared off copper rivet at stern of boat",N,NA,-25.274398,133.775136
1964,Unprovoked,AUSTRALIA,Victoria ,Free diving with seals,M,25,Left leg severed,N,White,-25.274398,133.775136
1964,Unprovoked,AUSTRALIA,Queensland,Swimming out to rescue swimmers in difficulty,M,29,FATAL,Y,NA,-25.274398,133.775136
1964,Provoked,AUSTRALIA,New South Wales,"Filming underwater, carrying powerhead",M,25,"Shark made threat display, then diver hit it with powerhead PROVOKED INCIDENT",N,White,-25.274398,133.775136
1964,Unprovoked,AUSTRALIA,Western Australia,"Surfing, but swimming to his board",M,19,Abrasions & 11 teethmarks on right lower leg,N,Grey reef ,-25.274398,133.775136
1964,Unprovoked,AUSTRALIA,South Australia,Surfing,M,19,Left thigh lacerated,N,NA,-25.274398,133.775136
1964,Unprovoked,AUSTRALIA,Western Australia,Freediving,M,NA,Arm lacerated,N,Wobbegong     ,-25.274398,133.775136
1964,Unprovoked,AUSTRALIA,Western Australia,NA,NA,NA,NA,NA,NA,-25.274398,133.775136
1965,Unprovoked,AUSTRALIA,Western Australia,"Spearfishing, but standing in knee-deep water",M,40,Thigh & swim fin bitten,N,Carpet,-25.274398,133.775136
1965,Boat,AUSTRALIA,South Australia,Fishing,NA,NA,No injury to occupants. Shark  gouged planks of boat,N,NA,-25.274398,133.775136
1965,Provoked,AUSTRALIA,Queensland,Fishing from 34' boat when pulled overboard by hooked shark,M,43,FATAL PROVOKED INCIDENT,Y,NA,-25.274398,133.775136
1965,Unprovoked,AUSTRALIA,Queensland,Surfing,M,24,Puncture wounds to right thigh,N,Grey reef ,-25.274398,133.775136
1965,Unprovoked,AUSTRALIA,Victoria,Swimming,M,NA,Thigh gashed,N,NA,-25.274398,133.775136
1966,Unprovoked,AUSTRALIA,Tasmania,Fishing,M,30,"6"" laceration to left forearm ",N,NA,-25.274398,133.775136
1966,Provoked,AUSTRALIA,New South Wales,Spearfishing,M,29,The shark bit the diver's leg after he shot it  PROVOKED INCIDENT,N,Grey reef ,-25.274398,133.775136
1966,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,19,Right hand lacerated,N,Grey reef ,-25.274398,133.775136
1966,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,29,Right leg bitten,N,NA,-25.274398,133.775136
1966,Unprovoked,AUSTRALIA,Queensland,"Free diving, carrying speargun",M,32,Shoulder lacerated,N,Bronze whaler    ,-25.274398,133.775136
1966,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,NA,Involved a speared shark but no other details PROVOKED INCIDENT,NA,NA,-25.274398,133.775136
1966,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,43,No injury,N,Mako,-25.274398,133.775136
1966,Boat,AUSTRALIA,Northern Territory,NA,M,NA,"No injury to occupant. Shark struck vessel, jamming centreboard",N,NA,-25.274398,133.775136
1966,Sea Disaster,AUSTRALIA,New South Wales,Sinking of the dredge World Atlas,M,40,FATAL,Y,NA,-25.274398,133.775136
1966,Unprovoked,AUSTRALIA,New South Wales,Fishing,M,NA,Foot bitten,N,NA,-25.274398,133.775136
1966,Sea Disaster,AUSTRALIA,New South Wales,Overturned skiff,M,NA,Survived,N,NA,-25.274398,133.775136
1966,Provoked,AUSTRALIA,New South Wales,Fishing (big game),NA,NA,"No injury to occupants, hooked shark rammed boat, PROVOKED INCIDENT",N,White,-25.274398,133.775136
1966,Unprovoked,AUSTRALIA,New South Wales,Treading water,M,13,"Left leg & lower right leg bitten, taken ashore with shark still grasping his leg",N,White,-25.274398,133.775136
1966,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,30,Buttocks bitten,N,Wobbegong     ,-25.274398,133.775136
1966,Unprovoked,AUSTRALIA,Western Australia,Jumped into the water,M,43,"Lower leg nipped, arm bruised when he landed in boat",N,Carpet ,-25.274398,133.775136
1967,Unprovoked,AUSTRALIA,Victoria,Swimming,M,59,"FATAL, presumed taken by a shark, body not recovered",Y,NA,-25.274398,133.775136
1967,Provoked,AUSTRALIA,New South Wales,Freediving,M,15,Recorded as PROVOKED INCIDENT,N,Grey reef ,-25.274398,133.775136
1967,Unprovoked,AUSTRALIA,Queensland,NA,M,18,Arm lacerated,N,Grey reef ,-25.274398,133.775136
1967,Unprovoked,AUSTRALIA,Western Australia,"Spearfishing, dived to pick up a float line",M,23,"FATAL, ""bitten in two""",Y,White,-25.274398,133.775136
1967,Provoked,AUSTRALIA,South Australia,NA,M,30,Thigh abraded & lacerated Recorded as PROVOKED INCIDENT,N,Bronze whaler    ,-25.274398,133.775136
1967,Provoked,AUSTRALIA,Victoria,Spearfishing,M,36,Speared shark lacerated his arm PROVOKED INCIDENT,N,Grey reef ,-25.274398,133.775136
1967,Provoked,AUSTRALIA,Victoria,Splashing,M,15,Foot bitten when he kicked shark PROVOKED INCIDENT,N,Sandtiger,-25.274398,133.775136
1968,Provoked,AUSTRALIA,New South Wales,Feeding mullet to sharks,M,27,Laceration to finger by a captive shark PROVOKED INCIDENT,N,Grey reef ,-25.274398,133.775136
1968,Unprovoked,AUSTRALIA,South Australia,NA,M,NA,Survived,N,White,-25.274398,133.775136
1968,Provoked,AUSTRALIA,Western Australia,NA,M,16,Abrasion on shoulder Recorded as PROVOKED INCIDENT,N,NA,-25.274398,133.775136
1968,Unprovoked,AUSTRALIA,New South Wales,"Diving. Shark ?swallowed? his hand, so he threw his other around the shark and went ?shark-back riding? for 30 yards until the shark opened its jaws",M,21,Hand lacerated,N,Bronze whaler    ,-25.274398,133.775136
1968,Provoked,AUSTRALIA,New South Wales,NA,M,47,Foot lacerated Recorded as PROVOKED INCIDENT,N,NA,-25.274398,133.775136
1968,Unprovoked,AUSTRALIA,Western Australia,Swimming,F,14,Thigh lacerated,N,NA,-25.274398,133.775136
1968,Unprovoked,AUSTRALIA,South Australia,Spearfishing,M,26,"No injury, speargun bitten",N,Bronze whaler    ,-25.274398,133.775136
1968,Unprovoked,AUSTRALIA,New South Wales,NA,NA,NA,Survived,N,NA,-25.274398,133.775136
1969,Unprovoked,AUSTRALIA,Western Australia,Swimming,M,15,Left thigh lacerated,N,NA,-25.274398,133.775136
1969,Provoked,AUSTRALIA,New South Wales,NA,M,27,PROVOKED INCIDENT,N,NA,-25.274398,133.775136
1969,Unprovoked,AUSTRALIA,Queensland,NA,NA,NA,Survived,N,NA,-25.274398,133.775136
1969,Provoked,AUSTRALIA,New South Wales,NA,M,65,Foot lacerated. Recorded as PROVOKED INCIDENT,N,Mako,-25.274398,133.775136
1969,Provoked,AUSTRALIA,Tasmania,Fishing,M,49,Lacerations to hand from hooked shark PROVOKED INCIDENT,N,NA,-25.274398,133.775136
1969,Unprovoked,AUSTRALIA,New South Wales,Freediving,M,21,Abrasions and lacerations to lower right leg,N,NA,-25.274398,133.775136
1969,Unprovoked,AUSTRALIA,Victoria,NA,M,NA,Minor injury ,N,Carpet ,-25.274398,133.775136
1970,Provoked,AUSTRALIA,New South Wales,NA,M,20,PROVOKED INCIDENT,N,NA,-25.274398,133.775136
1971,Unprovoked,AUSTRALIA,New South Wales,NA,NA,22,Survived,N,NA,-25.274398,133.775136
1971,Unprovoked,AUSTRALIA,Queensland,NA,M,20,FATAL,Y,NA,-25.274398,133.775136
1971,Provoked,AUSTRALIA,New South Wales,NA,NA,20,PROVOKED INCIDENT,N,NA,-25.274398,133.775136
1971,Unprovoked,AUSTRALIA,South Australia,Fishing,M,51," FATAL. Shark bite was minor injury, but he suffered a heart attack afterwards and died 6 hours later",Y,NA,-25.274398,133.775136
1971,Provoked,AUSTRALIA,New South Wales,Scuba diving & feeding fish,M,26,Eight puncture wounds to right leg by captive shark PROVOKED INCIDENT,N,Grey reef ,-25.274398,133.775136
1971,Unprovoked,AUSTRALIA,Tasmania,Swimming,M,NA,Torso lacerated,N,NA,-25.274398,133.775136
1971,Unprovoked,AUSTRALIA,South Australia,Surfing,M,15,Severe lacerations to thigh,N,White,-25.274398,133.775136
1972,Unprovoked,AUSTRALIA,Queensland,NA,M,NA,Hand bitten,N,NA,-25.274398,133.775136
1972,Provoked,AUSTRALIA,New South Wales,NA,NA,24,PROVOKED INCIDENT,N,NA,-25.274398,133.775136
1972,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,24,Right arm bitten,N,NA,-25.274398,133.775136
1972,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,19,Lacerations to thigh & buttocks,N,Bronze whaler    ,-25.274398,133.775136
1972,Unprovoked,AUSTRALIA,Tasmania,Diving for abalone,M,45,Left foot bitten,N,White,-25.274398,133.775136
1972,Unprovoked,AUSTRALIA,Queensland,NA,M,NA,FATAL,Y,NA,-25.274398,133.775136
1972,Unprovoked,AUSTRALIA,Queensland,NA,M,NA,FATAL,Y,NA,-25.274398,133.775136
1972,Unprovoked,AUSTRALIA,Queensland,NA,F,NA,Left leg bitten,N,NA,-25.274398,133.775136
1972,Unprovoked,AUSTRALIA,Victoria,Surfing,M,18,Laceration above knee,N,NA,-25.274398,133.775136
1972,Unprovoked,AUSTRALIA,Tasmania,NA,NA,NA,Survived,N,NA,-25.274398,133.775136
1973,Unprovoked,AUSTRALIA,Western Australia,NA,NA,NA,Survived,N,NA,-25.274398,133.775136
1973,Unprovoked,AUSTRALIA,Queensland,NA,NA,NA,Knee lacerated,N,NA,-25.274398,133.775136
1973,Unprovoked,AUSTRALIA,Queensland,NA,NA,21,NA,NA,NA,-25.274398,133.775136
1973,Unprovoked,AUSTRALIA,Queensland,Surfing,M,16,Right foot severed,N,NA,-25.274398,133.775136
1973,Unprovoked,AUSTRALIA,Queensland,NA,M,NA,Survived,N,NA,-25.274398,133.775136
1974,Unprovoked,AUSTRALIA,Western Australia,NA,NA,32,Survived,N,NA,-25.274398,133.775136
1974,Sea Disaster,AUSTRALIA,Queensland,3.3 m fishing boat sank. Treveluwe & Peter Hodgson (wearing lifejackets) were drifting in the current,M,30,"Missing, believed taken by a shark",N,NA,-25.274398,133.775136
1974,Unprovoked,AUSTRALIA,South Australia,Diving for abalone,M,26,"FATAL, right leg severed  ",Y,White,-25.274398,133.775136
1974,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,NA,8 to 10 puncture marks around knee,N,Bronze whaler    ,-25.274398,133.775136
1975,Boat,AUSTRALIA,South Australia,Attempting to drive shark away from the beach,NA,NA,"No injury, shark charged & rammed boat several times",N,NA,-25.274398,133.775136
1975,Provoked,AUSTRALIA,New South Wales,Filming & feeding captive sharks,M,35,Tooth mark in left elbow PROVOKED INCIDENT,N,Grey reef ,-25.274398,133.775136
1975,Unprovoked,AUSTRALIA,New South Wales,Standing,M,20,Laceration to posterior thigh,N,NA,-25.274398,133.775136
1975,Unprovoked,AUSTRALIA,Queensland,NA,M,NA,Puncture wounds in hand,N,NA,-25.274398,133.775136
1975,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,20,"Cracked jaw & broken tooth, shark took chunk out of surfboard",N,Bronze whaler    ,-25.274398,133.775136
1975,Unprovoked,AUSTRALIA,Tasmania,Scuba diving for abalone,M,37,FATAL,Y,White,-25.274398,133.775136
1975,Unprovoked,AUSTRALIA,Queensland,Surfing,M,21,Buttocks & leg bitten,N,NA,-25.274398,133.775136
1975,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,29,Speared shark bit his arm  between elbow and shoulder PROVOKED INCIDENT,N,Whale ,-25.274398,133.775136
1975,Unprovoked,AUSTRALIA,Queensland,NA,F,NA,Hand bitten,N,NA,-25.274398,133.775136
1975,Provoked,AUSTRALIA,Queensland,Diving & force-feeding the shark,NA,18,Laceration to thigh by captive shark PROVOKED INCIDENT,N,Bronze whaler    ,-25.274398,133.775136
1975,Unprovoked,AUSTRALIA,South Australia,Swimming underwater from crayfish cage to a fishing bait,M,12,Right leg  severed FATAL,Y,White,-25.274398,133.775136
1975,Unprovoked,AUSTRALIA,Victoria,Crayfishing,M,45,Puncture wounds to right shoulder,N,Carpet   ,-25.274398,133.775136
1975,Unprovoked,AUSTRALIA,Queensland,NA,M,NA,Survived,N,NA,-25.274398,133.775136
1975,Unprovoked,AUSTRALIA,South Australia,Surfing,M,17,"FATAL, body not recovered",Y,NA,-25.274398,133.775136
1976,Unprovoked,AUSTRALIA,Queensland,NA,M,NA,Survived,N,NA,-25.274398,133.775136
1976,Unprovoked,AUSTRALIA,South Australia,"Skindiving,",M,27,"Right leg bitten below the knee, left ankle & foot lacerated",N,NA,-25.274398,133.775136
1976,Boat,AUSTRALIA,Queensland,Sitting in bow of her father's 5 m boat,F,NA,"Shark jumped in boat, hitting her in the face & knocking her unconscious",N,NA,-25.274398,133.775136
1976,Unprovoked,AUSTRALIA,Queensland,NA,F,NA,Survived,N,NA,-25.274398,133.775136
1977,Unprovoked,AUSTRALIA,South Australia,Surfing,M,17,"Board rammed &  bitten, left thigh lacerated",N,White,-25.274398,133.775136
1977,Unprovoked,AUSTRALIA,Queensland,Floating on an inflatable raft,M,25,"FATAL, left arm severed, legs bitten ",Y,NA,-25.274398,133.775136
1977,Unprovoked,AUSTRALIA,Queensland,NA,M,NA,Survived,N,NA,-25.274398,133.775136
1977,Sea Disaster,AUSTRALIA,Queensland,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",M,32,"His feet were bitten by sharks, but he was rescued by a charter boat that arrived on the scene just an hour and 15 minutes after the sharks first appeared, too late to save the lives of Hayes and Beaver",N,NA,-25.274398,133.775136
1977,Sea Disaster,AUSTRALIA,Queensland,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",M,74,FATAL,Y,NA,-25.274398,133.775136
1977,Sea Disaster,AUSTRALIA,Queensland,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",M,45,FATAL,Y,NA,-25.274398,133.775136
1977,Unprovoked,AUSTRALIA,New South Wales,"Pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board",M,24,"Left hand, arm & leg lacerated, & shark bit chunk out of his surfboard",N,NA,-25.274398,133.775136
1978,Unprovoked,AUSTRALIA,Queensland,NA,M,NA,Survived,N,NA,-25.274398,133.775136
1978,Unprovoked,AUSTRALIA,Tasmania,Scuba diving for abalone,M,34,Several broken ribs,N,NA,-25.274398,133.775136
1978,Unprovoked,AUSTRALIA,Tasmania,Scuba diving,M,NA,Thigh bitten,N,Sevengill   ,-25.274398,133.775136
1979,Unprovoked,AUSTRALIA,New South Wales,Scuba diving,M,18,Leg bitten,N,NA,-25.274398,133.775136
1980,Unprovoked,AUSTRALIA,Western Australia,Swimming,M,NA,"Right shoulder bitten, puncture wounds on chest & lacerations on his back",N,NA,-25.274398,133.775136
1981,Unprovoked,AUSTRALIA,Queensland,NA,NA,NA,Abdomen lacerated,N,NA,-25.274398,133.775136
1981,Unprovoked,AUSTRALIA,Western Australia,Exercising his dog in the shallows,M,NA,Puncture wounds to foot,N,Hammerhead ,-25.274398,133.775136
1981,Unprovoked,AUSTRALIA,Western Australia,NA,NA,NA,No details,NA,NA,-25.274398,133.775136
1981,Unprovoked,AUSTRALIA,New South Wales,Surf-skiing,M,27,"No injury, ski bitten",N,Tiger   ,-25.274398,133.775136
1982,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,20,Legs bitten  FATAL,Y,NA,-25.274398,133.775136
1982,Unprovoked,AUSTRALIA,Tasmania,Spearfishing,M,32,"FATAL, body not recovered",Y,White,-25.274398,133.775136
1983,Unprovoked,AUSTRALIA,South Australia,Scuba diving for abalone,M,48,Fingers bitten,N,White,-25.274398,133.775136
